MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,000GA0023,7000.0,10.0,2019-02-12 00:00:00,V2
DC0001,000GA0025,5500.0,10.0,2019-02-12 00:00:00,V2
DC0001,001,0.0,10.0,2020-10-27 00:00:00,V2
DC0001,002,50000.0,10.0,2020-12-29 00:00:00,V2
DC0001,003,0.0,10.0,2021-06-17 00:00:00,V2
DC0001,004,0.0,10.0,2021-06-17 00:00:00,V2
DC0001,004380,30000.0,10.0,2019-05-17 00:00:00,V2
DC0001,006377,30000.0,10.0,2019-05-17 00:00:00,V2
DC0001,008944,59000.0,10.0,2019-05-17 00:00:00,V2
DC0001,010107,30000.0,10.0,2019-05-17 00:00:00,V2
DC0001,010176,30000.0,10.0,2019-05-17 00:00:00,V2
DC0001,0101A,28000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0102A,28000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0103A,35000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0104A,35000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0201A,15000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0202B,85000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0203A,95000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0204A,98000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0205A,98000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0206A,110000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0207B,12000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0208B,129000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0209B,89000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0209B,91000.0,10.0,2022-07-01 00:00:00,V2
DC0001,0210B,133000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0210B,136000.0,10.0,2022-07-01 00:00:00,V2
DC0001,0301A,115000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0302B,68000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0303B,116000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0304B,68000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0305B,116000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0306B,77000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0307B,135000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0308B,77000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0309B,135000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0310B,135000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0311B,9000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0311B,10500.0,10.0,2022-07-01 00:00:00,V2
DC0001,0312B,12000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0313B,99000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0314B,148000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0315B,158000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0316B,95000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0317B,143000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0318B,158000.0,10.0,2015-08-03 00:00:00,V2
