MA_KHO,ID_KHO_V1,ID_KHO_V2,TEN_KHO,LOAI_HINH_KHO,LEVEL,MA_KHO_CHA,GPS,DIEN_THOAI,DIA_CHI,MA_KHU_VUC,GHI_CHU,MA_TRANG_THAI
071295,28002,,Tổng kho 17,Tổng kho ảo,0,,,,,,,WS0001
100011020,,13832,Tổng kho BTCom Kênh truyền thống Hà Nội (xem báo cáo),Tổng kho ảo,0,,,,,,,WS0001
100011120,,14855,Kênh GT - Liberico (xem báo cáo),Tổng kho ảo,0,,,,,,,WS0001
10003333,,14,TỔNG KHO THU HỒI - ĐỔI TRẢ HÀNG,Tổng kho ảo,0,,,,,,,WS0001
10004444,28128,4,TỔNG KHO BTCOM THANH TRÌ,Tổng kho ảo,0,,,,,,,WS0001
100051120,,16680,Kênh Nội bộ - Liberico (xem báo cáo),Tổng kho ảo,0,,,,,,,WS0001
10005555,28006,20,TỔNG KHO THANH BA - PHÚ THỌ,Tổng kho vật lý,0,,,,,,,WS0002
10006666,28004,27,TỔNG KHO BTCOM DUY HƯNG MN,Tổng kho ảo,0,,,,,,,WS0001
10006789,,19699,TỔNG KHO BTCOM MIỀN NAM,Tổng kho vật lý,0,,,,,,,WS0002
10006868,,1,TỔNG KHO BTCOM BÌNH DƯƠNG,Tổng kho vật lý,0,,,,,,,WS0002
10007777,28009,35,TỔNG KHO VILACO HẢI PHÒNG,Tổng kho ảo,0,,,,,,,WS0001
100084442,1,33,TỔNG KHO BTCOM (XEM BÁO CÁO),Tổng kho ảo,0,,,,,,,WS0002
100084443,,10,TỔNG KHO BTCOM BÌNH DƯƠNG (CŨ),Tổng kho ảo,0,,,,,,,WS0001
100084444,,31,TỔNG KHO XUẤT HÀNG COMBO,Tổng kho ảo,0,,,,,,,WS0001
100084445,,19,TỔNG KHO BTCOM BẮC NINH,Tổng kho ảo,0,,,,,,,WS0001
100084446,,18,TỔNG KHO ĐB ĐA DỊCH VỤ,Tổng kho ảo,0,,,,,,,WS0001
100084447,,37,KHO TC HÀNG CHẬM BÁN MIỀN NAM,Tổng kho ảo,0,,,,,,,WS0001
10008888,28003,22,TỔNG KHO BTCOM MIỀN BẮC,Tổng kho vật lý,0,,,,,,,WS0002
10009999,28005,12,TỔNG KHO BTCOM MIỀN TRUNG,Tổng kho vật lý,0,,,,,,,WS0002
11111111,,39,Tổng kho giảm trừ hàng CTKM,Tổng kho ảo,0,,,,,,,WS0002
