MA_NCC,TEN_DK_KINH_DOANH,TEN_VIET_TAT,LOAI_NCC,MST,SDT,DIA_CHI,GHI_CHU
SUP0001,NCC Khác,NCC Khác,,,,,
SUP0002,CÔNG TY CỔ PHẦN VILACO,Vilaco,Doanh nghiệp,0200574869,02253570726,"Số 75B, đường 208, Xã An Đồng, Huyện An Dương, Thành phố Hải Phòng, Việt Nam",
SUP0003,CÔNG TY CỔ PHẦN BỘT GIẶT LIX,Lix,Doanh nghiệp,0301444263,(028) 3896 3658,"Số 3 đường số 2, Khu phố 4, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",
SUP0004,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÓA SINH HÀ NỘI,Hóa sinh HN,Doanh nghiệp,0101327890,0438574697,"Số 252/57 phố Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",
SUP0005,Phúc Thành,Phúc Thành,Doanh nghiệp,,,,
SUP0006,Công ty CP XNK NDC Việt Nam,XNK NDC VN,,,,,
SUP0007,CÔNG TY TNHH MỸ PHẨM ARIA VIỆT NAM,Aria VN,Doanh nghiệp,3602257664,08 622813271,"Tầng trệt lô ST.2, Cao Ốc An Khang, số 30, đường số 19, khu phố 5, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",
SUP0008,CÔNG TY TRÁCH NHIỆM HỮU HẠN HÓA MỸ PHẨM QUỐC TẾ,ICC,Doanh nghiệp,3700380232,06503758428 - 37584,"Lô B, đường số 2A, khu công nghiệp Đồng An, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",
SUP0009,CÔNG TY CỔ PHẦN LIBERICO,LIBERICO,Doanh nghiệp,0108512966,,"Tổ 13, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",
SUP0010,Công Ty Cổ Phần ATP Pacific Việt Nam,ATP Pacific VN,,,,,
SUP0011,CÔNG TY CỔ PHẦN THỦY SẢN KINH ĐÔ NHA TRANG,Thủy sản Kinh Đô Nha Trang,Doanh nghiệp,4201731021,0982456584,"Số 9/2 Nguyễn Duy Hiệu, Phường Vĩnh Hoà, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",
SUP0012,CÔNG TY CỔ PHẦN CBTP HẢI CHÂU,CBTP Hải Châu,Doanh nghiệp,0107745527,02432127039,"Số 45, phố Mạc Thị Bưởi, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",
SUP0013,HTX chè Hảo Đạt,HTX chè Hảo Đạt,HTX,,,,
SUP0014,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIM THUẬN TIẾN,Kim Thuận Tiến,Doanh nghiệp,0316328615,02866506075,"Số 19 Đường 19, Khu Phố 3, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",
