MA_NHOM_SAN_PHAM,TEN_NHOM_SAN_PHAM,MA_NHOM_SAN_PHAM_CHA
PC0001,Chưa phân loại,PG0001
PC0002,Áo mưa,PG0024
PC0003,Âu nhựa,PG0032
PC0004,Bàn chải đánh răng,PG0006
PC0005,Bàn chải răng,PG0006
PC0006,"Bàn, ghế nhựa",PG0032
PC0007,Băng dính,PG0018
PC0008,Băng vệ sinh,PG0022
PC0009,Bánh dẻo,PG0026
PC0010,Bánh nướng,PG0026
PC0011,Bánh tết,PG0025
PC0012,Bát đĩa melamin,PG0032
PC0013,Bát đĩa nhựa,PG0032
PC0014,Bát đĩa thìa sứ,PG0046
PC0015,Bát đĩa thủy tinh,PG0046
PC0016,Bìa ACCO,PG0019
PC0017,Bình đá nhựa,PG0032
PC0018,Bình nước nhựa,PG0032
PC0019,Bộ chăn ga gối,PG0008
PC0020,Bộ quà sứ,PG0046
PC0021,Bộ ướp lạnh rượu,PG0032
PC0022,Bông tắm,PG0004
PC0023,Bột cacao,PG0047
PC0024,Bột canh,PG0020
PC0025,Bột giặt,PG0021
PC0026,Bột ngũ cốc uống liền,PG0016
PC0027,Bột sữa bắp,PG0003
PC0028,"Bút mực, bút bi, bút chì",PG0010
PC0029,"Bút xóa, bút lông dầu",PG0010
PC0030,Ca cốc nhựa,PG0032
PC0031,Cá hộp,PG0012
PC0032,Cà phê rang cháy,PG0047
PC0033,Cháo,PG0045
PC0034,Chảo rán các loại,PG0011
PC0035,Cọ rửa nhà bếp,PG0011
PC0036,Cơ xương khớp,PG0027
PC0037,Dao cạo râu,PG0004
PC0038,"Dập ghim, ghim, kẹp",PG0018
PC0039,Dầu ăn khác,PG0009
PC0040,Dầu đậu nành,PG0009
PC0041,Dầu gội,PG0007
PC0042,Dầu hướng dương,PG0009
PC0043,Dầu ngô,PG0009
PC0044,Dầu xả,PG0007
PC0045,Dây tắm,PG0004
PC0046,Đề kháng miễn dịch,PG0043
PC0047,Đèn điện,PG0036
PC0048,Diệt côn trùng,PG0029
PC0049,"Đồ nhựa, Melamine khác",PG0032
PC0050,Đồ uống không cồn,PG0034
PC0051,Đồ uống tết,PG0025
PC0052,Dụng cụ vắt cam chanh,PG0011
PC0053,Dung dịch rửa tay khô,PG0038
PC0054,Dung dịch sát khuẩn,PG0005
PC0055,Dung dịch vệ sinh phụ nữ,PG0005
PC0056,Đường,PG0020
PC0057,Dưỡng da,PG0005
PC0058,Gel diệt khuẩn,PG0038
PC0059,Gel rửa tay khô,PG0038
PC0060,Giấy lau tay,PG0022
PC0061,Giấy thấm dầu,PG0005
PC0062,Giấy vệ sinh,PG0022
PC0063,Giỏ làn nhựa,PG0032
PC0064,Giỏ quà/ Hộp quà tết,PG0025
PC0065,Giỏ quà/ Hộp quà trung thu,PG0026
PC0066,Hạt nêm,PG0020
PC0067,"Hạt sấy, hoa quả sấy tết",PG0025
PC0068,Hô hấp ho xoang,PG0027
