MA_SAN_PHAM,TEN_SAN_PHAM,MA_LOAI_HANG,MA_TRANG_THAI,MA_PL_NGANH_HANG,MA_NHOM_SAN_PHAM,BIEN_THE,MA_THUONG_HIEU,MA_DVL,CO_DONG_GOI,MA_DVT,MA_PACKSIZE,MA_DVC,QUY_CACH_DONG_GOI,TONG_TRONG_LUONG,MA_HINH_THUC_DONG_GOI,MA_NGUON_GOC_SAN_PHAM,BARCODE_SAN_PHAM,BARCODE_THUNG,MA_NCC_SAN_PHAM,NHA_SAN_XUAT,MA_MO_HINH_MUA,NGON_NGU_SAN_PHAM,HAN_SU_DUNG
000GA0023,Dao cạo râu lưỡi kép có đệm bôi trơn LUS-3P; 3 Cái/Gói; 10 Gói/Hộp,PT0001,PS0004,IC0003,PC0037,Lưỡi kép,BRD0077,CU0012,3.00,PU0001,PACK0001,DU0005,10,30,PP0010,,,,SUP0001,,PM0001,,
000GA0025,Dao cạo râu lưỡi kép LUF-20P; 20 Cái/Gói; 5 Gói/Hộp,PT0001,PS0004,IC0003,PC0037,Lưỡi kép,BRD0077,CU0012,20.00,PU0001,PACK0001,DU0005,5,100,PP0010,,,,SUP0001,,PM0001,,
001,Trừ tiền chênh lệch,PT0001,PS0004,IC0003,PC0117,,BRD0003,CU0001,,,PACK0001,,1,,,,,,SUP0001,,PM0001,,
002,Tiền cược vỏ bình nước Futo 18.5L,PT0001,PS0004,IC0003,PC0117,,BRD0003,CU0001,,,PACK0001,,1,,,,,,SUP0001,,PM0001,,
003,Chiết khấu thêm khi hoàn thành chỉ tiêu,PT0001,PS0004,IC0003,PC0117,,BRD0003,CU0001,,,PACK0001,,1,,,,,,SUP0001,,PM0001,,
004,Hỗ trợ lương nhân viên bán hàng,PT0001,PS0004,IC0003,PC0117,,BRD0003,CU0001,,,PACK0001,,1,,,,,,SUP0001,,PM0001,,
004380,Snack khoai tây chiên Russkaya kartoshka vị thịt hun khói 150g (11 gói/thùng),PT0001,PS0004,IC0005,PC0118,Snack dạng miếng,BRD0151,CU0012,0.15,,PACK0001,,11,1.65,,,,,SUP0001,,PM0001,,
006377,Snack khoai tây chiên Russkaya Kartoshka vị kem chua và hành tây 150g (11 gói/thùng),PT0001,PS0004,IC0005,PC0118,Snack dạng miếng,BRD0151,CU0012,0.15,,PACK0001,,11,1.65,,,,,SUP0001,,PM0001,,
008944,Bánh ngũ cốc ăn sáng Kuzya Lakomkin 215g (8 hộp/thùng),PT0001,PS0004,IC0005,PC0011,215g,BRD0152,CU0013,0.215,,PACK0001,,8,1.72,,,,,SUP0001,,PM0001,,
010107,Snack khoai tây chiên Russkaya Kartoshka vị xúc xích nướng 150g (11 gói/thùng),PT0001,PS0004,IC0005,PC0118,Snack dạng miếng,BRD0151,CU0012,0.15,,PACK0001,,11,1.65,,,,,SUP0001,,PM0001,,
010176,Snack khoai tây chiên Russkaya Kartoshka vị tôm 150g (11 gói/thùng),PT0001,PS0004,IC0005,PC0118,Snack dạng miếng,BRD0151,CU0012,0.15,,PACK0001,,11,1.65,,,,,SUP0001,,PM0001,,
0101A,Tẩy Okay Hồng 960ml từ 1/8/2014 (12Chai/Thùng),PT0001,PS0004,IC0002,PC0107,Hồng,BRD0174,CU0007,0.96,PU0006,PACK0055,,12,11.52,,,,,SUP0001,,PM0001,,
0102A,Tẩy Okay Vàng từ 01/08/2014 ( 12Chai/Thùng),PT0001,PS0004,IC0002,PC0107,Vàng,BRD0174,CU0007,0.96,PU0006,PACK0055,,12,11.52,,,,,SUP0001,,PM0001,,
