code,status,issue_on,created_on,org,total_value,total_quantity,src_stock_code,src_stock,vendor_id,payment_type,note_type,channel,total_discount,seq,src_ancestors,so_chung_tu
HD.233013.2403.0005,12,,2024-03-18 07:52:18,btcom,370800,6,233013,1940,1,TM,3,VNPOST,0,24030005,"[33, 1858, 1937]",XKB2310033095
HD.253200.2403.0008,12,,2024-03-18 07:52:18,btcom,60000,1,253200,2398,1,TM,3,VNPOST,0,24030008,"[33, 2340, 2396]",XKB2510031801
HD.261720.2403.0001,12,,2024-03-18 07:52:19,btcom,540000,18,261720,2593,1,TM,3,VNPOST,0,24030001,"[33, 2557, 2571]",XKB2610019819
HD.272540.2403.0008,12,,2024-03-18 07:52:19,btcom,133000,1,272540,2771,1,TM,3,VNPOST,0,24030008,"[33, 2709, 2755]",XKB2710041389
HD.291081.2403.0003,12,,2024-03-18 07:52:19,btcom,984000,20,291081,3120,1,TM,3,VNPOST,0,24030003,"[33, 3112, 3116]",XKB2910052960
HD.291081.2403.0004,12,,2024-03-18 07:52:19,btcom,504000,12,291081,3120,1,TM,3,VNPOST,0,24030004,"[33, 3112, 3116]",XKB2910052961
HD.315224.2403.0001,12,,2024-03-18 07:52:19,btcom,399000,3,315224,3794,1,TM,3,VNPOST,0,24030001,"[33, 3596, 3790]",XKB3110016333
HD.323330.2403.0002,12,,2024-03-18 07:52:19,btcom,334000,5,323330,3901,1,TM,3,VNPOST,0,24030002,"[33, 3808, 3897]",XKB3210050952
HD.363630.2403.0001,12,,2024-03-18 07:52:19,btcom,6900,2,363630,4570,1,TM,3,VNPOST,0,24030001,"[33, 4467, 4566]",XKB3610033495
HD.363630.2403.0002,12,,2024-03-18 07:52:19,btcom,350000,10,363630,4570,1,TM,3,VNPOST,0,24030002,"[33, 4467, 4566]",XKB3610033498
HD.363630.2403.0003,12,,2024-03-18 07:52:19,btcom,133000,1,363630,4570,1,TM,3,VNPOST,0,24030003,"[33, 4467, 4566]",XKB3610033499
HD.363630.2403.0004,12,,2024-03-18 07:52:19,btcom,24000,1,363630,4570,1,TM,3,VNPOST,0,24030004,"[33, 4467, 4566]",XKB3610033500
HD.443390.2403.0006,12,,2024-03-18 07:52:19,btcom,342000,12,443390,6003,1,TM,3,VNPOST,0,24030006,"[33, 5874, 5984]",XKB4400185360
